HOLEID FROM TO SAMPLETYPE Au
DDH0862 122.96 124.36 Diamond 0.139
DDH0862 124.36 125.97 Diamond 0.075
DDH0862 125.97 128.6 Diamond 0.037
DDH0862 128.6 130.21 Diamond 0.033
DDH0862 130.21 131.46 Diamond 0.039
DDH0862 131.46 134.36 Diamond 0.063
DDH0862 134.36 136.25 Diamond 2.88
DDH0862 136.25 137.01 Diamond 0.109
DDH0862 137.01 139.05 Diamond 0.016
DDH0862 139.05 142.1 Diamond 0.013
DDH0862 142.1 145.15 Diamond 0.007
DDH0862 145.15 148.19 Diamond 0.005
DDH0862 148.19 149.6 Diamond 0.003
DDH0862 149.6 150.6 Diamond 0.003
DDH0862 150.6 151.24 Diamond 0.003
DDH0862 151.24 154.29 Diamond 0.003
DDH0862 154.29 157.34 Diamond 0.003
DDH0862 157.34 158.13 Diamond 0.003
DDH0862 158.13 159.47 Diamond 0.013
DDH0862 159.47 160.39 Diamond 0.006
DDH0862 160.39 163.43 Diamond 0.003
DDH0862 163.43 166.48 Diamond 0.003
DDH0862 166.48 168.89 Diamond 0.003
DDH0862 168.89 170.84 Diamond 0.003
DDH0862 170.84 173.58 Diamond 0.012
DDH0862 173.58 176.08 Diamond 0.044
DDH0862 176.08 178.67 Diamond 0.003
DDH0862 178.67 181.72 Diamond 0.003
DDH0862 181.72 184.77 Diamond 0.003
DDH0862 184.77 186.51 Diamond 0.041
DDH0862 186.51 188.12 Diamond 0.449
DDH0862 188.12 190.38 Diamond 0.145
DDH0862 190.38 192.27 Diamond 0.172
DDH0862 192.27 193.94 Diamond 0.508
DDH0862 193.94 196.96 Diamond 0.011
DDH0862 196.96 200.01 Diamond 0.012
DDH0862 200.01 201.29 Diamond 0.093
DDH0862 201.29 203.06 Diamond 0.424
DDH0862 203.06 204.09 Diamond 0.494
DDH0862 204.09 205.8 Diamond 0.1
DDH0862 205.8 207.54 Diamond 0.215
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0862 207.54 208.94 Diamond 0.603
DDH0862 208.94 210.62 Diamond 0.248
DDH0862 210.62 212.66 Diamond 0.4
DDH0862 212.66 214.09 Diamond 0.19
DDH0862 214.09 215.25 Diamond 1.35
DDH0862 215.25 216.16 Diamond 0.231
DDH0862 216.16 217.38 Diamond 0.579
DDH0862 217.38 218.72 Diamond 0.447
DDH0862 218.72 219.52 Diamond 0.13
DDH0862 219.52 220.77 Diamond 0.098
DDH0862 220.77 223.02 Diamond 1.14
DDH0862 223.02 224.39 Diamond 0.661
DDH0862 224.39 225.4 Diamond 0.933
DDH0862 225.4 227.44 Diamond 0.221
DDH0862 227.44 228.48 Diamond 0.216
DDH0862 228.48 230.49 Diamond 0.269
DDH0862 230.49 232.71 Diamond 1.455
DDH0862 232.71 235 Diamond 0.529
DDH0862 235 236.59 Diamond 0.573
DDH0862 236.59 238.41 Diamond 0.306
DDH0862 238.41 239.63 Diamond 1.235
DDH0862 239.63 240.76 Diamond 0.523
DDH0862 240.76 242.16 Diamond 0.264
DDH0862 242.16 244.14 Diamond 0.726
DDH0862 244.14 245.73 Diamond 0.371
DDH0862 245.73 246.67 Diamond 0.179
DDH0862 246.67 248.78 Diamond 0.271
DDH0862 248.78 249.57 Diamond 0.266
DDH0862 249.57 250.85 Diamond 0.61
DDH0862 250.85 252.77 Diamond 0.645
DDH0862 252.77 254.2 Diamond 0.715
DDH0862 254.2 255.48 Diamond 0.196
DDH0862 255.48 256.89 Diamond 0.423
DDH0862 256.89 258.56 Diamond 0.055
DDH0862 258.56 260.85 Diamond 0.119
DDH0862 260.85 262.28 Diamond 0.196
DDH0862 262.28 263.29 Diamond 0.147
DDH0862 263.29 264.54 Diamond 0.565
DDH0862 264.54 266.43 Diamond 0.184
DDH0862 266.43 268.38 Diamond 0.454
DDH0862 268.38 268.99 Diamond 0.38
DDH0862 268.99 269.93 Diamond 0.163
DDH0862 269.93 271.39 Diamond 0.213
DDH0862 271.39 272.13 Diamond 0.161
DDH0862 272.13 273.53 Diamond 0.128
DDH0862 273.53 275.36 Diamond 0.102
DDH0862 275.36 277.64 Diamond 0.129
DDH0862 277.64 279.62 Diamond 0.095
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0862 279.62 280.9 Diamond 0.071
DDH0862 280.9 282.82 Diamond 0.022
DDH0862 282.82 284.04 Diamond 0.069
DDH0862 284.04 285.35 Diamond 0.229
DDH0862 285.35 287.7 Diamond 0.151
DDH0862 287.7 289.59 Diamond 0.523
DDH0862 289.59 291.94 Diamond 0.138
DDH0862 291.94 292.88 Diamond 0.083
DDH0862 292.88 294.13 Diamond 0.138
DDH0862 294.13 297.06 Diamond 0.151
DDH0862 297.06 298.7 Diamond 0.411
DDH0862 298.7 300.59 Diamond 0.157
DDH0862 300.59 301.97 Diamond 0.088
DDH0862 301.97 303.64 Diamond 0.077
DDH0862 303.64 306.08 Diamond 0.032
DDH0862 306.08 306.69 Diamond 0.051
DDH0862 306.69 308.21 Diamond 0.018
DDH0862 308.21 309.74 Diamond 0.024
DDH0862 309.74 310.96 Diamond 0.036
DDH0862 310.96 312.79 Diamond 0.114
DDH0862 312.79 314.31 Diamond 0.085
DDH0862 314.31 315.83 Diamond 0.141
DDH0862 315.83 317.36 Diamond 0.157
DDH0862 317.36 318.88 Diamond 0.087
DDH0863 0 3.51 Diamond 0.003
DDH0863 3.51 6.55 Diamond 0.003
DDH0863 6.55 9.78 Diamond 0.01
DDH0863 9.78 11.13 Diamond 0.161
DDH0863 11.13 12.04 Diamond 0.014
DDH0863 12.04 13.56 Diamond 0.02
DDH0863 13.56 15.7 Diamond 0.053
DDH0863 15.7 17.1 Diamond 0.059
DDH0863 17.1 18.29 Diamond 0.03
DDH0863 18.29 19.17 Diamond 0.017
DDH0863 19.17 20.27 Diamond 0.03
DDH0863 20.27 21.79 Diamond 0.047
DDH0863 21.79 23.32 Diamond 0.046
DDH0863 23.32 24.84 Diamond 0.067
DDH0863 24.84 26.37 Diamond 0.058
DDH0863 26.37 27.89 Diamond 0.007
DDH0863 27.89 29.41 Diamond 0.013
DDH0863 29.41 31.24 Diamond 0.033
DDH0863 31.24 32.46 Diamond 0.414
DDH0863 32.46 33.99 Diamond 0.008
DDH0863 33.99 35.51 Diamond 0.006
DDH0863 35.51 37.03 Diamond 0.011
DDH0863 37.03 38.56 Diamond 0.018
DDH0863 38.56 40.08 Diamond 0.013
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0863 40.08 41.61 Diamond 0.007
DDH0863 41.61 43.13 Diamond 0.027
DDH0863 43.13 44.65 Diamond 0.013
DDH0863 44.65 46.18 Diamond 0.005
DDH0863 46.18 47.7 Diamond 0.005
DDH0863 47.7 49.23 Diamond 0.009
DDH0863 49.23 50.75 Diamond 0.012
DDH0863 50.75 52.27 Diamond 0.007
DDH0863 52.27 53.8 Diamond 0.11
DDH0863 53.8 55.57 Diamond 0.033
DDH0863 55.57 56.91 Diamond 0.003
DDH0863 56.91 58.46 Diamond 0.003
DDH0863 58.46 59.71 Diamond 0.003
DDH0863 59.71 60.81 Diamond 0.008
DDH0863 60.81 62.64 Diamond 0.003
DDH0863 62.64 64.16 Diamond 0.003
DDH0863 64.16 65.47 Diamond 0.003
DDH0863 65.47 67.57 Diamond 0.003
DDH0863 67.57 68.28 Diamond 0.003
DDH0863 68.28 69.86 Diamond 0.003
DDH0863 69.86 73 Diamond 0.003
DDH0863 73 75.74 Diamond 0.013
DDH0863 75.74 78.49 Diamond 0.005
DDH0863 78.49 81.44 Diamond 0.003
DDH0863 81.44 84.49 Diamond 0.003
DDH0863 84.49 87.54 Diamond 0.003
DDH0863 87.54 90.25 Diamond 0.003
DDH0863 90.25 93.39 Diamond 0.007
DDH0863 93.39 96.53 Diamond 0.003
DDH0863 96.53 99.64 Diamond 0.003
DDH0863 99.64 102.78 Diamond 0.003
DDH0863 102.78 105.83 Diamond 0.003
DDH0863 105.83 108.66 Diamond 0.008
DDH0863 108.66 110.52 Diamond 0.067
DDH0863 110.52 112.14 Diamond 0.009
DDH0863 112.14 114.03 Diamond 0.008
DDH0863 114.03 114.82 Diamond 0.01
DDH0863 114.82 116.65 Diamond 0.007
DDH0863 116.65 117.93 Diamond 0.022
DDH0863 117.93 119.45 Diamond 0.015
DDH0863 119.45 121.04 Diamond 0.01
DDH0863 121.04 121.65 Diamond 0.037
DDH0863 121.65 124.11 Diamond 0.003
DDH0863 124.11 125.43 Diamond 0.003
DDH0863 125.43 126.37 Diamond 0.02
DDH0863 126.37 127.16 Diamond 0.003
DDH0863 127.16 130.21 Diamond 0.016
DDH0863 130.21 133.26 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0863 133.26 136.31 Diamond 0.003
DDH0863 136.31 139.35 Diamond 0.003
DDH0863 139.35 142.4 Diamond 0.003
DDH0863 142.4 145.45 Diamond 0.003
DDH0863 145.45 148.5 Diamond 0.003
DDH0863 148.5 151.55 Diamond 0.003
DDH0863 151.55 154.59 Diamond 0.003
DDH0863 154.59 156.58 Diamond 0.006
DDH0863 156.58 158.31 Diamond 0.017
DDH0863 158.31 159.84 Diamond 0.018
DDH0863 159.84 160.45 Diamond 0.061
DDH0863 160.45 161.3 Diamond 0.707
DDH0863 161.3 162.25 Diamond 0.657
DDH0863 162.25 162.95 Diamond 2.16
DDH0863 162.95 164.32 Diamond 0.762
DDH0863 164.32 165.2 Diamond 1.25
DDH0863 165.2 166.63 Diamond 1
DDH0863 166.63 168.19 Diamond 0.98
DDH0863 168.19 169.04 Diamond 1.095
DDH0863 169.04 169.44 Diamond 0.118
DDH0863 169.44 170.29 Diamond 0.557
DDH0863 170.29 172.21 Diamond 0.6
DDH0863 172.21 173.03 Diamond 0.491
DDH0863 173.03 174.83 Diamond 1.43
DDH0863 174.83 176.54 Diamond 0.017
DDH0863 176.54 177.45 Diamond 0.005
DDH0863 177.45 178.98 Diamond 0.003
DDH0863 178.98 180.62 Diamond 0.003
DDH0863 180.62 182.03 Diamond 0.01
DDH0863 182.03 183.03 Diamond 0.003
DDH0863 183.03 184.37 Diamond 0.009
DDH0863 184.37 185.9 Diamond 0.216
DDH0863 185.9 188.12 Diamond 0.27
DDH0863 188.12 189.65 Diamond 0.215
DDH0863 189.65 191.17 Diamond 0.054
DDH0863 191.17 192.69 Diamond 0.106
DDH0863 192.69 194.22 Diamond 0.018
DDH0863 194.22 195.74 Diamond 0.022
DDH0863 195.74 197.27 Diamond 0.011
DDH0863 197.27 198.79 Diamond 0.006
DDH0863 198.79 200.31 Diamond 0.012
DDH0863 200.31 201.84 Diamond 0.013
DDH0863 201.84 203.36 Diamond 0.012
DDH0863 203.36 204.89 Diamond 0.047
DDH0863 204.89 206.47 Diamond 0.094
DDH0863 206.47 208 Diamond 0.848
DDH0863 208 209.06 Diamond 0.18
DDH0863 209.06 209.79 Diamond 0.044
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0863 209.79 211.32 Diamond 0.016
DDH0863 211.32 213.36 Diamond 0.224
DDH0863 213.36 215.22 Diamond 0.163
DDH0863 215.22 216.23 Diamond 1.465
DDH0863 216.23 218.51 Diamond 0.274
DDH0863 218.51 220.13 Diamond 0.18
DDH0863 220.13 221.65 Diamond 0.197
DDH0863 221.65 223.17 Diamond 0.315
DDH0863 223.17 224.27 Diamond 0.096
DDH0863 224.27 226.22 Diamond 0.131
DDH0863 226.22 227.75 Diamond 0.074
DDH0863 227.75 229.27 Diamond 0.009
DDH0863 229.27 230.79 Diamond 0.003
DDH0863 230.79 232.32 Diamond 0.003
DDH0863 232.32 233.84 Diamond 0.003
DDH0863 233.84 235.37 Diamond 0.003
DDH0863 235.37 236.89 Diamond 0.003
DDH0863 236.89 238.72 Diamond 0.003
DDH0863 238.72 240.03 Diamond 0.003
DDH0863 240.03 244.02 Diamond 0.003
DDH0863 244.02 246.03 Diamond 0.029
DDH0863 246.03 246.95 Diamond 0.425
DDH0863 246.95 249.08 Diamond 0.003
DDH0863 249.08 257.56 NS -1
DDH0863 257.56 259.75 Diamond 0.009
DDH0863 259.75 261.27 Diamond 0.017
DDH0864 0 0.91 Diamond 0.003
DDH0864 0.91 3.51 Diamond 0.003
DDH0864 3.51 7.01 Diamond 0.003
DDH0864 7.01 9.6 Diamond 0.006
DDH0864 9.6 12.65 Diamond 0.006
DDH0864 12.65 15.7 Diamond 0.003
DDH0864 15.7 18.75 Diamond 0.037
DDH0864 18.75 21.79 Diamond 0.016
DDH0864 21.79 22.74 Diamond 0.003
DDH0864 22.74 24.84 Diamond 0.024
DDH0864 24.84 26.37 Diamond 0.006
DDH0864 26.37 27.89 Diamond 0.008
DDH0864 27.89 29.87 Diamond 0.003
DDH0864 29.87 30.94 Diamond 0.003
DDH0864 30.94 32.46 Diamond 0.022
DDH0864 32.46 33.99 Diamond 0.018
DDH0864 33.99 35.51 Diamond 0.015
DDH0864 35.51 37.03 Diamond 0.003
DDH0864 37.03 38.56 Diamond 0.006
DDH0864 38.56 40.08 Diamond 0.026
DDH0864 40.08 41.61 Diamond 0.048
DDH0864 41.61 43.13 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0864 43.13 44.5 Diamond 0.011
DDH0864 44.5 45.81 Diamond 0.053
DDH0864 45.81 47.7 Diamond 0.003
DDH0864 47.7 48.62 Diamond 0.003
DDH0864 48.62 49.23 Diamond 0.007
DDH0864 49.23 50.75 Diamond 0.091
DDH0864 50.75 52.27 Diamond 0.043
DDH0864 52.27 53.22 Diamond 0.095
DDH0864 53.22 55.32 Diamond 0.003
DDH0864 55.32 56.91 Diamond 0.003
DDH0864 56.91 58.37 Diamond 0.028
DDH0864 58.37 59.89 Diamond 0.036
DDH0864 59.89 61.42 Diamond 0.015
DDH0864 61.42 62.94 Diamond 0.003
DDH0864 62.94 64.47 Diamond 0.053
DDH0864 64.47 65.99 Diamond 0.055
DDH0864 65.99 67.51 Diamond 0.048
DDH0864 67.51 69.04 Diamond 0.367
DDH0864 69.04 70.62 Diamond 0.189
DDH0864 70.62 72.09 Diamond 1.89
DDH0864 72.09 74.07 Diamond 1.965
DDH0864 74.07 75.13 Diamond 0.274
DDH0864 75.13 76.02 Diamond 0.538
DDH0864 76.02 76.66 Diamond 5.77
DDH0864 76.66 77.82 Diamond 1.36
DDH0864 77.82 79.46 Diamond 3.72
DDH0864 79.46 80.62 Diamond 17.45
DDH0864 80.62 82.75 Diamond 4.11
DDH0864 82.75 84.28 Diamond 4.8
DDH0864 84.28 85.8 Diamond 4.06
DDH0864 85.8 87.33 Diamond 6.18
DDH0864 87.33 88.85 Diamond 2.96
DDH0864 88.85 89.7 Diamond 8.41
DDH0864 89.7 91.9 Diamond 1.32
DDH0864 91.9 93.09 Diamond 0.593
DDH0864 93.09 94.95 Diamond 0.006
DDH0864 94.95 96.47 Diamond 0.005
DDH0864 96.47 98.33 Diamond 0.003
DDH0864 98.33 101.04 Diamond 0.173
DDH0864 101.04 103.85 Diamond 0.026
DDH0864 103.85 105.61 Diamond 0.089
DDH0864 105.61 106.44 Diamond 0.077
DDH0864 106.44 107.14 Diamond 0.017
DDH0864 107.14 108.66 Diamond 0.003
DDH0864 108.66 110.19 Diamond 0.003
DDH0864 110.19 111.71 Diamond 0.003
DDH0864 111.71 113.23 Diamond 0.003
DDH0864 113.23 114.76 Diamond 0.007
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0864 114.76 116.28 Diamond 0.023
DDH0864 116.28 117.81 Diamond 0.003
DDH0864 117.81 119.33 Diamond 0.094
DDH0864 119.33 120.85 Diamond 0.005
DDH0865 3.51 5.03 Diamond 0.003
DDH0865 5.03 6.55 Diamond 0.003
DDH0865 6.55 8.08 Diamond 0.003
DDH0865 8.08 9.6 Diamond 0.003
DDH0865 9.6 11.13 Diamond 0.003
DDH0865 11.13 12.65 Diamond 0.003
DDH0865 12.65 14.17 Diamond 0.003
DDH0865 14.17 15.7 Diamond 0.006
DDH0865 15.7 17.22 Diamond 0.003
DDH0865 17.22 18.75 Diamond 0.009
DDH0865 18.75 20.27 Diamond 0.006
DDH0865 20.27 21.79 Diamond 0.006
DDH0865 21.79 23.32 Diamond 0.01
DDH0865 23.32 24.84 Diamond 0.01
DDH0865 24.84 26.37 Diamond 0.07
DDH0865 26.37 27.89 Diamond 0.254
DDH0865 27.89 29.41 Diamond 0.239
DDH0865 29.41 30.94 Diamond 0.09
DDH0865 30.94 32.46 Diamond 0.019
DDH0865 32.46 33.99 Diamond 0.003
DDH0865 33.99 35.51 Diamond 0.003
DDH0865 35.51 37.03 Diamond 0.003
DDH0865 37.03 38.56 Diamond 0.003
DDH0865 38.56 39.75 Diamond 0.003
DDH0865 39.75 41.73 Diamond 0.003
DDH0865 41.73 43.13 Diamond 0.003
DDH0865 43.13 44.65 Diamond 0.003
DDH0865 44.65 46.18 Diamond 0.003
DDH0865 46.18 47.7 Diamond 0.003
DDH0865 47.7 49.04 Diamond 0.003
DDH0865 49.04 49.68 Diamond 0.01
DDH0865 49.68 51.11 Diamond 0.028
DDH0865 51.11 52.55 Diamond 0.489
DDH0865 52.55 53.8 Diamond 0.34
DDH0865 53.8 54.77 Diamond 0.108
DDH0865 54.77 55.63 Diamond 1.005
DDH0865 55.63 56.66 Diamond 1.08
DDH0865 56.66 57.82 Diamond 0.4
DDH0865 57.82 58.4 Diamond 0.101
DDH0865 58.4 59.89 Diamond 0.131
DDH0865 59.89 61.42 Diamond 0.059
DDH0865 61.42 62.24 Diamond 0.012
DDH0865 62.24 63.25 Diamond 0.008
DDH0865 63.25 64.47 Diamond 0.186
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0865 64.47 65.81 Diamond 0.094
DDH0865 65.81 67.33 Diamond 0.062
DDH0865 67.33 68.85 Diamond 0.051
DDH0865 68.85 69.34 Diamond 0.11
DDH0865 69.34 70.56 Diamond 0.278
DDH0865 70.56 71.66 Diamond 0.14
DDH0865 71.66 73.18 Diamond 0.038
DDH0865 73.18 74.71 Diamond 0.02
DDH0865 74.71 76.23 Diamond 0.003
DDH0865 76.23 77.05 Diamond 0.003
DDH0865 77.05 78.18 Diamond 0.003
DDH0866 0 0.73 Diamond 0.005
DDH0866 0.73 2.1 Diamond 0.003
DDH0866 2.1 4.88 Diamond 0.003
DDH0866 4.88 7.92 Diamond 0.003
DDH0866 7.92 10.97 Diamond 0.011
DDH0866 10.97 14.02 Diamond 0.007
DDH0866 14.02 17.07 Diamond 0.012
DDH0866 17.07 20.12 Diamond 0.008
DDH0866 20.12 22.25 Diamond 0.008
DDH0866 22.25 23.16 Diamond 0.029
DDH0866 23.16 23.9 Diamond 0.047
DDH0866 23.9 24.69 Diamond 0.007
DDH0866 24.69 25.76 Diamond 0.006
DDH0866 25.76 26.3 NS -1
DDH0866 26.3 26.97 Diamond 0.008
DDH0866 26.97 28.96 Diamond 0.017
DDH0866 28.96 29.47 NS -1
DDH0866 29.47 30.78 Diamond 0.052
DDH0866 30.78 31.85 Diamond 0.027
DDH0866 31.85 32.31 NS -1
DDH0866 32.31 33.83 Diamond 0.078
DDH0866 33.83 34.59 Diamond 0.107
DDH0866 34.59 35.97 Diamond 0.132
DDH0866 35.97 36.21 NS -1
DDH0866 36.21 36.88 Diamond 0.07
DDH0866 36.88 38.4 Diamond 0.2
DDH0866 38.4 39.93 Diamond 0.054
DDH0866 39.93 41.45 Diamond 0.06
DDH0866 41.45 42.98 Diamond 0.086
DDH0866 42.98 44.5 Diamond 0.008
DDH0866 44.5 45.32 Diamond 0.025
DDH0866 45.32 47.76 Diamond 0.05
DDH0866 47.76 49.35 Diamond 0.026
DDH0866 49.35 50.6 Diamond 0.239
DDH0866 50.6 52.43 Diamond 0.257
DDH0866 52.43 53.28 Diamond 0.144
DDH0866 53.28 54.62 Diamond 0.138
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0866 54.62 56.69 Diamond 2.82
DDH0866 56.69 58.22 Diamond 2.62
DDH0866 58.22 59.74 Diamond 2.44
DDH0866 59.74 61.57 Diamond 3.28
DDH0866 61.57 62.79 Diamond 15.75
DDH0866 62.79 64.43 Diamond 13.75
DDH0866 64.43 65.84 Diamond 2.25
DDH0866 65.84 67.36 Diamond 0.397
DDH0866 67.36 68.88 Diamond 0.578
DDH0866 68.88 70.1 Diamond 1.22
DDH0866 70.1 71.93 Diamond 2.53
DDH0866 71.93 73.46 Diamond 1.515
DDH0866 73.46 74.98 Diamond 0.873
DDH0866 74.98 76.84 Diamond 0.758
DDH0866 76.84 77.48 Diamond 0.065
DDH0866 77.48 79.55 Diamond 0.523
DDH0866 79.55 81.08 Diamond 0.172
DDH0866 81.08 82.6 Diamond 0.166
DDH0866 82.6 84.12 Diamond 0.76
DDH0866 84.12 85.65 Diamond 1.08
DDH0866 85.65 87.17 Diamond 0.286
DDH0866 87.17 88.7 Diamond 0.367
DDH0866 88.7 90.22 Diamond 0.651
DDH0866 90.22 91.74 Diamond 0.446
DDH0866 91.74 93.27 Diamond 0.034
DDH0866 93.27 94.79 Diamond 0.078
DDH0866 94.79 96.32 Diamond 0.056
DDH0866 96.32 97.84 Diamond 0.033
DDH0866 97.84 99.36 Diamond 0.053
DDH0866 99.36 100.89 Diamond 0.076
DDH0866 100.89 102.23 Diamond 0.089
DDH0866 102.23 103.94 Diamond 0.112
DDH0866 103.94 105.46 Diamond 0.489
DDH0866 105.46 106.98 Diamond 0.146
DDH0866 106.98 108.51 Diamond 0.071
DDH0866 108.51 110.03 Diamond 0.036
DDH0866 110.03 111.56 Diamond 0.025
DDH0866 111.56 113.08 Diamond 0.118
DDH0866 113.08 114.6 Diamond 0.062
DDH0866 114.6 116.13 Diamond 0.093
DDH0867 2.44 5.49 Diamond 0.026
DDH0867 5.49 8.53 Diamond 0.003
DDH0867 8.53 11.58 Diamond 0.003
DDH0867 11.58 14.63 Diamond 0.003
DDH0867 14.63 17.68 Diamond 0.003
DDH0867 17.68 20.73 Diamond 0.003
DDH0867 20.73 23.77 Diamond 0.003
DDH0867 23.77 26.82 Diamond 0.053
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0867 26.82 28.35 Diamond 0.003
DDH0867 28.35 29.87 Diamond 0.003
DDH0867 29.87 31.39 Diamond 0.003
DDH0867 31.39 32.61 Diamond 0.003
DDH0867 32.61 34.44 Diamond 0.003
DDH0867 34.44 35.97 Diamond 0.003
DDH0867 35.97 37.49 Diamond 0.003
DDH0867 37.49 39.01 Diamond 0.003
DDH0867 39.01 40.54 Diamond 0.003
DDH0867 40.54 42.06 Diamond 0.003
DDH0867 42.06 43.28 Diamond 0.003
DDH0867 43.28 44.2 Diamond 0.003
DDH0867 44.2 46.63 Diamond 0.003
DDH0867 46.63 48.16 Diamond 0.003
DDH0867 48.16 49.68 Diamond 0.009
DDH0867 49.68 51.21 Diamond 0.015
DDH0867 51.21 52.73 Diamond 0.022
DDH0867 52.73 54.25 Diamond 0.018
DDH0867 54.25 55.78 Diamond 0.022
DDH0867 55.78 57.3 Diamond 0.021
DDH0867 57.3 58.83 Diamond 0.012
DDH0867 58.83 60.35 Diamond 0.003
DDH0867 60.35 61.87 Diamond 0.003
DDH0867 61.87 63.4 Diamond 0.003
DDH0867 63.4 65.53 Diamond 0.003
DDH0867 65.53 67.97 Diamond 0.003
DDH0867 67.97 69.49 Diamond 0.003
DDH0867 69.49 71.02 Diamond 0.012
DDH0867 71.02 72.54 Diamond 0.003
DDH0867 72.54 74.07 Diamond 0.528
DDH0868 0 3.51 Diamond 0.003
DDH0868 3.51 6.55 Diamond 0.003
DDH0868 6.55 9.6 Diamond 0.003
DDH0868 9.6 11.13 Diamond 0.003
DDH0868 11.13 14.17 Diamond 0.003
DDH0868 14.17 17.37 Diamond 0.003
DDH0868 17.37 18.93 Diamond 0.003
DDH0868 18.93 20.85 Diamond 0.003
DDH0868 20.85 22.77 Diamond 0.003
DDH0868 22.77 24.11 Diamond 0.003
DDH0868 24.11 25.09 Diamond 0.003
DDH0868 25.09 26.97 Diamond 0.031
DDH0868 26.97 28.44 Diamond 0.12
DDH0868 28.44 29.5 Diamond 0.266
DDH0868 29.5 30.85 Diamond 0.349
DDH0868 30.85 32.37 Diamond 0.124
DDH0868 32.37 33.65 Diamond 0.392
DDH0868 33.65 35.75 Diamond 0.122
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0868 35.75 36.61 Diamond 0.017
DDH0868 36.61 37.73 Diamond 2.95
DDH0868 37.73 38.92 Diamond 0.941
DDH0868 38.92 40.48 Diamond 3.18
DDH0868 40.48 42 Diamond 2.78
DDH0868 42 43.53 Diamond 2.1
DDH0868 43.53 45.05 Diamond 1.12
DDH0868 45.05 46.57 Diamond 0.025
DDH0868 46.57 48.1 Diamond 0.084
DDH0868 48.1 49.62 Diamond 2.32
DDH0868 49.62 51.15 Diamond 4.44
DDH0868 51.15 52.3 Diamond 2.34
DDH0868 52.3 53.92 Diamond 2.84
DDH0868 53.92 55.81 Diamond 2.25
DDH0868 55.81 57.33 Diamond 1.59
DDH0868 57.33 58.83 Diamond 0.136
DDH0868 58.83 60.02 Diamond 0.048
DDH0868 60.02 61.54 Diamond 0.009
DDH0868 61.54 63.06 Diamond 0.085
DDH0868 63.06 64.59 Diamond 0.089
DDH0868 64.59 66.11 Diamond 0.064
DDH0868 66.11 67.64 Diamond 0.015
DDH0868 67.64 69.16 Diamond 0.08
DDH0868 69.16 70.68 Diamond 0.007
DDH0868 70.68 72.21 Diamond 0.006
DDH0868 72.21 73.73 Diamond 0.005
DDH0868 73.73 75.26 Diamond 0.013
DDH0868 75.26 76.66 Diamond 0.003
DDH0869 0 2.04 NS -1
DDH0869 2.04 3.57 Diamond 0.015
DDH0869 3.57 5.09 Diamond 0.061
DDH0869 5.09 8.14 Diamond 0.003
DDH0869 8.14 9.66 Diamond 0.003
DDH0869 9.66 11.4 Diamond 0.003
DDH0869 11.4 12.22 Diamond 0.031
DDH0869 12.22 14.23 Diamond 0.283
DDH0869 14.23 17.28 Diamond 0.007
DDH0869 17.28 18.81 Diamond 0.003
DDH0869 18.81 20.33 Diamond 0.006
DDH0869 20.33 21.85 Diamond 0.012
DDH0869 21.85 23.38 Diamond 0.003
DDH0869 23.38 24.9 Diamond 0.029
DDH0869 24.9 26.37 Diamond 0.034
DDH0869 26.37 27.95 Diamond 0.01
DDH0869 27.95 29.47 Diamond 0.028
DDH0869 29.47 31.36 Diamond 0.003
DDH0869 31.36 32.52 Diamond 0.026
DDH0869 32.52 34.47 Diamond 0.053
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0869 34.47 34.96 Diamond 0.038
DDH0869 34.96 37.09 Diamond 0.108
DDH0869 37.09 38.62 Diamond 0.003
DDH0869 38.62 39.68 Diamond 0.003
DDH0869 39.68 40.97 Diamond 0.026
DDH0869 40.97 42.92 Diamond 0.053
DDH0869 42.92 43.65 Diamond 0.003
DDH0869 43.65 44.71 Diamond 0.08
DDH0869 44.71 45.45 Diamond 0.017
DDH0869 45.45 46.24 Diamond 0.053
DDH0869 46.24 47.76 Diamond 0.071
DDH0869 47.76 50.81 Diamond 0.009
DDH0869 50.81 52.33 Diamond 0.003
DDH0869 52.33 53.86 Diamond 0.003
DDH0869 53.86 55.08 Diamond 0.08
DDH0869 55.08 56.91 Diamond 0.003
DDH0869 56.91 58.58 Diamond 0.003
DDH0869 58.58 59.95 Diamond 0.005
DDH0869 59.95 61.48 Diamond 0.005
DDH0869 61.48 63 Diamond 0.006
DDH0869 63 63.7 Diamond 0.021
DDH0869 63.7 65.2 Diamond 0.003
DDH0869 65.2 66.45 Diamond 0.031
DDH0869 66.45 67.97 Diamond 0.008
DDH0869 67.97 69.1 Diamond 3.25
DDH0869 69.1 70.62 Diamond 0.027
